nombre_tabla,mes,anio,ext,url_csv
conteo_vehicular,abril,2023,csv,https://catalogodatos.gub.uy/dataset/95a35fa3-9629-41a6-976a-5fb8c900fdec/resource/3fc94f44-a6f8-48f7-b8f4-956a34efc035/download/autoscope_04_2023_volumen.csv
conteo_vehicular,mayo,2023,csv,https://catalogodatos.gub.uy/dataset/95a35fa3-9629-41a6-976a-5fb8c900fdec/resource/d83f3a8a-a0cc-413f-b12b-aa9c880ec7cc/download/autoscope_05_2023_volumen.csv
velocidad_media_vehicular,enero,2021,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/074f14bd-7805-4c14-a531-37b6d705acfc/download/autoscope_01_2021_velocidad.csv
velocidad_media_vehicular,febrero,2021,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/01ba56d8-2dab-4d8b-8391-d03159314144/download/autoscope_02_2021_velocidad.csv
velocidad_media_vehicular,marzo,2021,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/da56b7db-dcef-41e0-8f16-a00406ae7c1c/download/autoscope_03_2021_velocidad.csv
velocidad_media_vehicular,abril,2021,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/918c1cef-e5bd-4212-aabd-34ebddcbc976/download/autoscope_04_2021_velocidad.csv
velocidad_media_vehicular,mayo,2021,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/009e8a86-a463-4272-bfaa-12735920f19b/download/autoscope_05_2021_velocidad.csv
velocidad_media_vehicular,junio,2021,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/6247c88c-41d5-4f68-8e5b-6f9cd92a5252/download/autoscope_06_2021_velocidad.csv
velocidad_media_vehicular,julio,2021,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/53c69acf-8ada-4707-8295-096ee03cbc00/download/autoscope_07_2021_velocidad.csv
velocidad_media_vehicular,agosto,2021,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/c3d215f2-d5fb-4cc7-bc6a-15baa584caa1/download/autoscope_08_2021_velocidad.csv
velocidad_media_vehicular,septiembre,2021,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/8ccf4c36-1077-435c-924c-90d479d3b509/download/autoscope_09_2021_velocidad.csv
velocidad_media_vehicular,octubre,2021,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/cbb23265-2397-4e9c-b7c8-005338dc42a7/download/autoscope_10_2021_velocidad.csv
velocidad_media_vehicular,noviembre,2021,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/5d40e95d-4ffb-4268-8f37-5d6886142058/download/autoscope_11_2021_velocidad.csv
velocidad_media_vehicular,diciembre,2021,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/3a10ed46-1469-4fe1-a610-b9b04bc4ad26/download/autoscope_12_2021_velocidad.csv
velocidad_media_vehicular,enero,2022,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/16bb7b29-cf68-4344-95b4-e8718f257f35/download/autoscope_01_2022_velocidad.csv
velocidad_media_vehicular,febrero,2022,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/5f0d4c46-7892-4eba-8b6a-47d02c3816a1/download/autoscope_02_2022_velocidad.csv
